timestamp,test-class,test-method,time,description,result
2021-12-12 16:26:16.147,acme.testing.anonymous.duty.AnonymousDutyListTest,positiveTaskListing,1577,"[1] recordIndex=0, title=A duty, description=In the future, executionStart=2022/01/11 14:46, executionEnd=2022/01/15 14:46, link=http://www.sample-app.com, workload=18:59, isPublic=true",Expected value '2022/01/11 14:46' in attribute 1 of record 0, but found 'In the future'
2021-12-12 16:26:17.447,acme.testing.anonymous.duty.AnonymousDutyListTest,positiveTaskListing,1040,"[2] recordIndex=1, title=A duty, description=Non-finished and public, executionStart=2021/12/12 14:46, executionEnd=2021/12/15 14:46, link=null, workload=4:21, isPublic=true",Expected value '2021/12/12 14:46' in attribute 1 of record 1, but found 'Non-finished and public'
2021-12-12 16:26:18.68,acme.testing.anonymous.duty.AnonymousDutyListTest,positiveTaskListing,973,"[3] recordIndex=2, title=Another duty, description=Non-finished and public, executionStart=2021/12/10 12:30, executionEnd=2021/12/14 18:45, link=null, workload=0:30, isPublic=true",Expected value '2021/12/10 12:30' in attribute 1 of record 2, but found 'Non-finished and public'
2021-12-12 16:26:22.611,acme.testing.anonymous.duty.AnonymousDutyListTest,negativeTaskListing,3673,"negativeTaskListing()",OK
