timestamp,simple-path,time
2021-12-12 17:24:24.393,/master/welcome,2003
2021-12-12 17:24:26.183,/master/sign-in,926
2021-12-12 17:24:31.401,/master/welcome,1019
2021-12-12 17:24:31.945,/master/welcome,393
2021-12-12 17:24:34.011,/master/welcome,1045
2021-12-12 17:24:35.043,/master/welcome,787
2021-12-12 17:24:35.953,/master/welcome,792
2021-12-12 17:24:37.613,/master/sign-in,1276
2021-12-12 17:24:40.086,/master/sign-in,1069
2021-12-12 17:24:48.242,/master/welcome,843
2021-12-12 17:24:49.298,/master/sign-in,797
