timestamp,test-class,test-method,time,description,result
2021-12-12 15:59:27.479,acme.testing.anonymous.duty.AnonymousDutyListTest,positiveTaskListing,90132,"[1] recordIndex=0, title=A duty, description=In the future, executionStart=2022/01/11 14:46, executionEnd=2022/01/15 14:46, link=http://www.sample-app.com, workload=18:59, isPublic=true",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Duties']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='View duties']'
2021-12-12 16:00:57.634,acme.testing.anonymous.duty.AnonymousDutyListTest,positiveTaskListing,90096,"[2] recordIndex=1, title=A duty, description=Non-finished and public, executionStart=2021/12/12 14:46, executionEnd=2021/12/15 14:46, link=null, workload=4:21, isPublic=true",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Duties']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='View duties']'
2021-12-12 16:02:27.766,acme.testing.anonymous.duty.AnonymousDutyListTest,positiveTaskListing,90083,"[3] recordIndex=2, title=Another duty, description=Non-finished and public, executionStart=2021/12/10 12:30, executionEnd=2021/12/14 18:45, link=null, workload=0:30, isPublic=true",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Duties']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='View duties']'
2021-12-12 16:03:27.885,acme.testing.anonymous.duty.AnonymousDutyListTest,negativeTaskListing,60075,"negativeTaskListing()",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li/a[normalize-space()='Sign in']'
